Synset,isBasic_percentage,IsNotHard_percentage,TimeDiffs_sum,TimeDiffs_average,Depth
ladies'_room.n.01,0.5,0.9,35.051,3.5051,
lady's_smock.n.01,0.0,1.0,22.468,2.2468,
land.n.02,1.0,1.0,11.535,1.1535,0.15
lateral_thinking.n.01,0.0,1.0,35.492,3.5492,
latest.n.01,0.9,0.8,19.28,1.9280000000000002,0.3
left.n.02,1.0,1.0,44.815,4.4815,0.35
libidinal_energy.n.01,0.0,1.0,14.645,1.4645,
light.n.01,1.0,1.0,10.132,1.0131999999999999,0.5
lighter.n.02,0.8,1.0,25.121,2.5120999999999998,0.35
line.n.29,1.0,1.0,17.776,1.7776,0.4
lineage.n.01,0.0,1.0,24.566,2.4566,0.3
link.n.06,1.0,1.0,14.336,1.4336,0.4
logjam.n.01,0.0,1.0,20.275,2.0275,0.3
look.n.02,1.0,1.0,13.148,1.3148,0.4
looseness.n.05,0.1,1.0,33.31,3.3310000000000004,0.3
luminosity.n.01,0.5,1.0,79.949,7.9948999999999995,0.25
mafia.n.01,0.4,0.9,37.397,3.7397,0.3
magazine.n.03,1.0,1.0,16.44,1.6440000000000001,0.45
mainstream.n.01,0.5,1.0,28.689,2.8689,0.35
male_child.n.01,0.9,1.0,30.224,3.0224,0.4
man.n.10,1.0,1.0,9.423,0.9423,0.4
management.n.01,0.9,1.0,23.19,2.319,0.35
manipulation.n.01,0.2,0.8,34.524,3.4524,0.35
margin.n.05,0.7,0.8,32.267,3.2267,0.4
meaning.n.02,1.0,1.0,17.329,1.7329,0.3
means.n.01,1.0,1.0,16.045,1.6045000000000003,0.3
meat_and_potatoes.n.01,0.6,1.0,23.156,2.3156,
meeting.n.03,1.0,1.0,13.811,1.3811,0.3
meritocracy.n.01,0.1,0.9,35.976,3.5976,0.25
message.n.02,1.0,1.0,10.85,1.085,0.15
meteortropism.n.01,0.0,1.0,16.366,1.6366,
meter.n.03,0.9,0.9,43.705,4.3705,0.4
military_action.n.01,0.4,1.0,16.591,1.6591,0.3
military_position.n.01,0.2,1.0,31.228,3.1228000000000002,0.25
military_unit.n.01,0.3,0.9,511.822,51.1822,0.3
millenary.n.03,0.3,0.9,26.771,2.6771000000000003,0.4
mind_game.n.02,0.2,1.0,18.248,1.8248000000000002,
mire.n.01,0.0,1.0,65.681,6.568099999999999,0.3
model_t.n.01,0.0,1.0,16.804,1.6804,
moment.n.01,1.0,1.0,12.147,1.2147000000000001,0.2
monetary_value.n.01,0.2,1.0,27.076,2.7076000000000002,0.3
money.n.01,1.0,1.0,11.289,1.1289,0.3
motion.n.03,0.8,0.8,41.748,4.174799999999999,0.35
motivation.n.01,0.9,1.0,16.117,1.6117000000000001,0.15
